trial_num,session_num,stim_probability_left,contrast,position,response_choice,trial_correct,reaction_time
108,11,0.5,0.0,-35.0,-1,1.0,2.1987000000000307
109,11,0.5,0.125,35.0,1,1.0,2.479600000000005
110,11,0.5,0.0625,-35.0,-1,1.0,0.469600000000014
111,11,0.5,1.0,35.0,1,1.0,0.6136999999999944
112,11,0.5,0.125,-35.0,-1,1.0,1.2507999999999129
113,11,0.5,0.0625,-35.0,-1,1.0,0.9797999999999547
114,11,0.5,1.0,-35.0,-1,1.0,0.2724999999999227
115,11,0.5,1.0,35.0,-1,0.0,0.20920000000000982
116,11,0.5,0.0625,35.0,-1,0.0,0.5281999999999698
117,11,0.5,0.25,35.0,-1,0.0,0.37200000000007094
118,11,0.5,0.125,-35.0,-1,1.0,0.41629999999997835
119,11,0.5,0.25,35.0,-1,0.0,3.185600000000022
120,11,0.5,0.0,-35.0,-1,1.0,1.5688000000000102
121,11,0.5,0.0625,-35.0,-1,1.0,0.40260000000000673
122,11,0.5,1.0,35.0,1,1.0,0.5486999999999398
123,11,0.5,1.0,35.0,1,1.0,1.4345999999999322
124,11,0.5,0.0,-35.0,1,0.0,0.5712999999999511
125,11,0.5,0.25,35.0,1,1.0,0.46699999999998454
126,11,0.5,0.25,-35.0,-1,1.0,0.3626000000000431
127,11,0.5,0.0625,-35.0,-1,1.0,0.5095999999999776
128,11,0.5,1.0,-35.0,-1,1.0,0.34969999999998436
129,11,0.5,1.0,35.0,1,1.0,0.5853000000000748
130,11,0.5,0.125,35.0,-1,0.0,0.5455000000000609
131,11,0.5,0.125,35.0,1,1.0,0.4663999999999078
132,11,0.5,0.25,35.0,1,1.0,1.0307000000000244
133,11,0.5,0.125,35.0,1,1.0,2.3251000000000204
134,11,0.5,0.25,35.0,1,1.0,0.5353999999999814
135,11,0.5,0.0625,-35.0,1,0.0,1.4714999999999918
136,11,0.5,0.125,35.0,1,1.0,0.5557000000000016
137,11,0.5,0.125,35.0,-1,0.0,3.075200000000109
138,11,0.5,0.125,-35.0,-1,1.0,0.29319999999995616
139,11,0.5,0.25,35.0,1,1.0,0.7314000000000078
140,11,0.5,1.0,-35.0,-1,1.0,0.3102999999999838
141,11,0.5,0.25,35.0,1,1.0,0.33219999999994343
142,11,0.5,1.0,35.0,1,1.0,0.8222999999999274
143,11,0.5,0.125,35.0,-1,0.0,2.250099999999975
144,11,0.5,0.0,35.0,-1,0.0,1.1446999999999434
145,11,0.5,0.0,35.0,-1,0.0,8.270899999999983
146,11,0.5,1.0,35.0,1,1.0,5.001999999999953
147,11,0.5,0.0625,-35.0,-1,1.0,0.46649999999999636
148,11,0.5,0.0,35.0,-1,0.0,1.8711000000000695
149,11,0.5,0.25,-35.0,-1,1.0,0.3413999999999078
150,11,0.5,0.25,35.0,-1,0.0,2.14670000000001
151,11,0.5,0.125,-35.0,-1,1.0,0.7794000000000096
152,11,0.5,1.0,35.0,1,1.0,0.38440000000002783
153,11,0.5,0.0625,-35.0,-1,1.0,0.34199999999998454
154,11,0.5,0.0625,-35.0,-1,1.0,0.3854999999999791
155,11,0.5,1.0,-35.0,-1,1.0,0.24909999999988486
156,11,0.5,0.125,-35.0,-1,1.0,0.40859999999997854
157,11,0.5,0.0625,35.0,-1,0.0,0.688199999999938
158,11,0.5,0.25,-35.0,-1,1.0,0.4963000000000193
159,11,0.5,0.25,35.0,1,1.0,0.6075000000000728
160,11,0.5,1.0,-35.0,-1,1.0,0.2726000000000113
161,11,0.5,0.25,35.0,1,1.0,0.3646000000001095
162,11,0.5,1.0,35.0,1,1.0,0.2699999999999818
163,11,0.5,0.0625,35.0,1,1.0,2.0345000000000937
164,11,0.5,0.125,35.0,1,1.0,1.588899999999967
165,11,0.5,0.125,35.0,1,1.0,0.4882000000000062
166,11,0.5,1.0,35.0,1,1.0,0.30930000000000746
167,11,0.5,0.0,-35.0,-1,1.0,5.389999999999986
168,11,0.5,0.0,-35.0,-1,1.0,4.809499999999957
169,11,0.5,0.25,35.0,-1,0.0,0.6838999999999942
170,11,0.6,0.25,-35.0,-1,1.0,0.3387000000000171
171,11,0.5,1.0,35.0,1,1.0,0.4552000000001044
172,11,0.5,0.25,35.0,-1,0.0,1.0235999999999876
173,11,0.5,0.125,35.0,-1,0.0,0.39020000000004984
174,11,0.5,0.125,-35.0,-1,1.0,0.30510000000003856
175,11,0.5,0.0,-35.0,-1,1.0,3.7965000000000373
176,11,0.5,0.25,35.0,1,1.0,2.0412000000000035
177,11,0.5,0.25,35.0,1,1.0,0.6173000000000002
178,11,0.5,0.125,35.0,1,1.0,1.513599999999883
179,11,0.5,0.125,35.0,-1,0.0,4.531499999999937
180,11,0.5,0.0625,35.0,1,1.0,1.2297000000000935
181,11,0.5,0.125,-35.0,-1,1.0,2.3541000000000167
182,11,0.5,0.0625,-35.0,-1,1.0,0.26400000000001
183,11,0.5,0.0625,-35.0,-1,1.0,0.4714999999999918
184,11,0.5,0.25,-35.0,-1,1.0,0.30600000000004
185,11,0.5,0.0625,-35.0,-1,1.0,1.1268999999999778
186,11,0.5,0.25,-35.0,-1,1.0,0.36760000000003856
187,11,0.5,0.25,35.0,1,1.0,0.595899999999915
188,11,0.5,1.0,-35.0,-1,1.0,0.27909999999997126
189,11,0.5,0.0,-35.0,1,0.0,1.0599999999999454
190,11,0.5,0.25,35.0,-1,0.0,2.665300000000002
191,11,0.5,0.0625,35.0,-1,0.0,7.7924999999999045
192,11,0.5,0.125,-35.0,-1,1.0,13.746999999999957
193,11,0.5,0.125,35.0,-1,0.0,10.908400000000029
194,11,0.5,0.25,-35.0,-1,1.0,0.3345000000000482
195,11,0.5,1.0,35.0,-1,0.0,0.43830000000002656
196,11,0.5,0.0,35.0,1,1.0,5.410000000000082
197,11,0.5,0.0625,-35.0,-1,1.0,7.815300000000093
198,11,0.5,0.0625,-35.0,-1,1.0,3.578200000000038
199,11,0.5,1.0,-35.0,-1,1.0,0.21519999999998163
200,11,0.5,0.0625,35.0,-1,0.0,8.040900000000079
201,11,0.5,0.125,-35.0,-1,1.0,0.6554000000000997
202,11,0.5,0.125,35.0,-1,0.0,0.8898000000000366
203,11,0.5,0.0625,35.0,-1,0.0,5.528700000000072
204,11,0.5,0.0625,35.0,-1,0.0,11.382799999999975
205,11,0.5,0.125,35.0,-1,0.0,10.20780000000002
206,11,0.1,0.125,35.0,-1,0.0,8.164099999999848
207,11,0.5,1.0,35.0,-1,0.0,7.9486000000001695
208,11,0.5,0.25,35.0,-1,0.0,1.465900000000147
209,11,0.5,0.0,35.0,-1,0.0,11.769100000000208
210,11,0.5,0.125,35.0,-1,0.0,0.8387000000000171
211,11,0.5,0.125,35.0,-1,0.0,6.4688000000003285
212,11,0.5,0.25,-35.0,-1,1.0,7.359400000000051
213,11,0.5,0.0625,-35.0,-1,1.0,5.0534999999999854
214,11,0.5,0.0,-35.0,-1,1.0,1.0289999999999964
